iter	Passed	Remaining
0	0	79
1	1	69
2	2	67
3	2	63
4	3	61
5	3	59
6	4	57
7	4	55
8	5	54
9	5	53
10	6	52
11	7	51
12	7	50
13	8	50
14	8	49
15	9	48
16	9	47
17	10	47
18	10	46
19	11	45
20	11	44
21	12	44
22	12	43
23	13	42
24	13	41
25	15	42
26	15	42
27	16	41
28	16	40
29	17	39
30	17	39
31	18	38
32	18	37
33	19	36
34	19	36
35	20	35
36	20	35
37	21	35
38	22	35
39	22	34
40	23	33
41	23	33
42	24	32
43	24	31
44	25	30
45	25	30
46	26	29
47	27	29
48	27	28
49	28	28
50	28	27
51	29	26
52	29	26
53	30	25
54	30	25
55	31	24
56	32	24
57	32	23
58	33	23
59	34	22
60	34	22
61	35	22
62	36	21
63	37	21
64	38	20
65	38	20
66	39	19
67	40	19
68	41	18
69	42	18
70	42	17
71	43	16
72	43	16
73	44	15
74	45	15
75	46	14
76	46	13
77	47	13
78	47	12
79	48	12
80	48	11
81	49	10
82	49	10
83	50	9
84	50	8
85	51	8
86	52	7
87	53	7
88	53	6
89	54	6
90	54	5
91	55	4
92	56	4
93	56	3
94	57	3
95	57	2
96	58	1
97	59	1
98	60	0
99	60	0
